1, minecraft:swamp_hut, HEADING, header:ignore, 0, 0, 0
114, dungeonsmod:the_lab, MONSTER, dungeonsmod:mimic, 5, 1, 1
115, dungeonsmod:the_catacombs, HEADING, header:ignore, 0, 0, 0
116, dungeonsmod:the_catacombs, MONSTER, dungeonsmod:mimic, 5, 1, 1
117, dungeonsmod:the_origin, HEADING, header:ignore, 0, 0, 0
118, dungeonsmod:the_origin, MONSTER, dungeonsmod:mimic, 5, 1, 1
119, tropicraft:koa_village, HEADING, header:ignore, 0, 0, 0
120, tropicraft:home_tree, HEADING, header:ignore, 0, 0, 0
121, dungeons_enhanced:castle, HEADING, header:ignore, 0, 0, 0
122, dungeons_enhanced:desert_temple, HEADING, header:ignore, 0, 0, 0
123, dungeons_enhanced:desert_tomb, HEADING, header:ignore, 0, 0, 0
124, dungeons_enhanced:druid_circle, HEADING, header:ignore, 0, 0, 0
125, dungeons_enhanced:dungeon_variant, HEADING, header:ignore, 0, 0, 0
126, dungeons_enhanced:elders_temple, HEADING, header:ignore, 0, 0, 0
127, dungeons_enhanced:elders_temple, MONSTER, minecraft:guardian, 20, 2, 4
128, dungeons_enhanced:fishing_ship, HEADING, header:ignore, 0, 0, 0
129, dungeons_enhanced:flying_dutchman, HEADING, header:ignore, 0, 0, 0
130, dungeons_enhanced:hay_storage, HEADING, header:ignore, 0, 0, 0
131, dungeons_enhanced:ice_pit, HEADING, header:ignore, 0, 0, 0
132, dungeons_enhanced:jungle_monument, HEADING, header:ignore, 0, 0, 0
133, dungeons_enhanced:large_dungeon, HEADING, header:ignore, 0, 0, 0
134, dungeons_enhanced:miners_house, HEADING, header:ignore, 0, 0, 0
135, dungeons_enhanced:monster_maze, HEADING, header:ignore, 0, 0, 0
136, dungeons_enhanced:mushroom_house, HEADING, header:ignore, 0, 0, 0
137, dungeons_enhanced:pillager_camp, HEADING, header:ignore, 0, 0, 0
138, dungeons_enhanced:pillager_camp, MONSTER, minecraft:pillager, 5, 1, 3
139, dungeons_enhanced:pillager_camp, MONSTER, minecraft:vindicator, 20, 1, 1
140, dungeons_enhanced:pirate_ship, HEADING, header:ignore, 0, 0, 0
141, dungeons_enhanced:pirate_ship, MONSTER, minecraft:pillager, 5, 2, 4
142, dungeons_enhanced:pirate_ship, MONSTER, minecraft:vindicator, 5, 1, 2
143, dungeons_enhanced:ruined_building, HEADING, header:ignore, 0, 0, 0
144, dungeons_enhanced:stables, HEADING, header:ignore, 0, 0, 0
145, dungeons_enhanced:sunken_shrine, HEADING, header:ignore, 0, 0, 0
146, dungeons_enhanced:tall_witch_hut, HEADING, header:ignore, 0, 0, 0
147, dungeons_enhanced:tree_house, HEADING, header:ignore, 0, 0, 0
148, dungeons_enhanced:tower_of_the_undead, HEADING, header:ignore, 0, 0, 0
149, dungeons_enhanced:watch_tower, HEADING, header:ignore, 0, 0, 0
150, dungeons_enhanced:witch_tower, HEADING, header:ignore, 0, 0, 0
151, netherhexedkingdom:hexed_watch_tower, HEADING, header:ignore, 0, 0, 0
152, netherhexedkingdom:hexed_watch_tower, MONSTER, minecraft:wither_skeleton, 30, 1, 4
153, netherhexedkingdom:hexed_prison, HEADING, header:ignore, 0, 0, 0
154, netherhexedkingdom:hexed_prison, MONSTER, minecraft:blaze, 30, 0, 1
155, netherhexedkingdom:hexed_prison, MONSTER, netherhexedkingdom:hexan_guard_melee_entity, 30, 3, 7
156, netherhexedkingdom:hexed_prison, MONSTER, netherhexedkingdom:hexan_guard_ranged_entity, 30, 3, 8
157, netherhexedkingdom:hexed_greed_mines, HEADING, header:ignore, 0, 0, 0
158, netherhexedkingdom:hexed_greed_mines, MONSTER, minecraft:wither_skeleton, 30, 3, 6
159, netherhexedkingdom:hexed_greed_mines, MONSTER, netherhexedkingdom:hexan_guard_melee_entity, 30, 3, 7
160, netherhexedkingdom:hexed_greed_mines, MONSTER, netherhexedkingdom:piglin_beserker_entity, 30, 1, 3
161, netherhexedkingdom:hexed_lookout, HEADING, header:ignore, 0, 0, 0
162, netherhexedkingdom:hexed_lookout, MONSTER, minecraft:wither_skeleton, 30, 3, 7
163, netherhexedkingdom:hexed_lookout, MONSTER, netherhexedkingdom:hexan_guard_ranged_entity, 30, 3, 8
164, netherhexedkingdom:hexed_lookout, MONSTER, netherhexedkingdom:hexan_guard_melee_entity, 30, 2, 6
165, netherhexedkingdom:hexed_outpost, HEADING, header:ignore, 0, 0, 0
166, netherhexedkingdom:hexed_outpost, MONSTER, netherhexedkingdom:hexan_guard_melee_entity, 30, 3, 9
167, netherhexedkingdom:hexed_outpost, MONSTER, netherhexedkingdom:hexan_guard_ranged_entity, 30, 2, 6
168, netherhexedkingdom:hexed_bullion_temple, HEADING, header:ignore, 0, 0, 0
169, netherhexedkingdom:hexed_bullion_temple, MONSTER, minecraft:wither_skeleton, 30, 1, 4
170, netherhexedkingdom:hexed_bullion_temple, MONSTER, minecraft:blaze, 30, 1, 4
171, netherhexedkingdom:hexed_bullion_temple, MONSTER, netherhexedkingdom:hexan_guard_melee_entity, 30, 3, 9
172, netherhexedkingdom:hexed_iron_clad, HEADING, header:ignore, 0, 0, 0
173, netherhexedkingdom:hexed_iron_clad, MONSTER, netherhexedkingdom:hexan_guard_ranged_entity, 30, 1, 8
174, netherhexedkingdom:hexed_red_sun_tower, HEADING, header:ignore, 0, 0, 0
175, netherhexedkingdom:hexed_red_sun_tower, MONSTER, minecraft:wither_skeleton, 30, 1, 4
176, netherhexedkingdom:hexed_red_sun_tower, MONSTER, minecraft:blaze, 30, 1, 4
177, netherhexedkingdom:hexed_red_sun_tower, MONSTER, netherhexedkingdom:hexan_guard_melee_entity, 30, 3, 7
178, netherhexedkingdom:hexed_red_sun_tower, MONSTER, netherhexedkingdom:hexan_guard_ranged_entity, 30, 3, 8
179, netherhexedkingdom:hexed_volcan_pit, HEADING, header:ignore, 0, 0, 0
180, betterstrongholds:stronghold, HEADING, header:ignore, 0, 0, 0
181, towers_of_the_wild:tower, HEADING, header:ignore, 0, 0, 0
182, towers_of_the_wild:ice_tower, HEADING, header:ignore, 0, 0, 0
183, towers_of_the_wild:jungle_tower, HEADING, header:ignore, 0, 0, 0
184, towers_of_the_wild:derelict_tower, HEADING, header:ignore, 0, 0, 0
185, towers_of_the_wild:derelict_grass_tower, HEADING, header:ignore, 0, 0, 0
186, towers_of_the_wild:ocean_tower, HEADING, header:ignore, 0, 0, 0
187, towers_of_the_wild:ocean_warm_tower, HEADING, header:ignore, 0, 0, 0
188, valhelsia_structures:castle, HEADING, header:ignore, 0, 0, 0
189, valhelsia_structures:castle_ruin, HEADING, header:ignore, 0, 0, 0
190, valhelsia_structures:desert_house, HEADING, header:ignore, 0, 0, 0
191, valhelsia_structures:forge, HEADING, header:ignore, 0, 0, 0
192, valhelsia_structures:player_house, HEADING, header:ignore, 0, 0, 0
193, valhelsia_structures:spawner_dungeon, HEADING, header:ignore, 0, 0, 0
194, valhelsia_structures:tower_ruin, HEADING, header:ignore, 0, 0, 0
195, valhelsia_structures:witch_hut, HEADING, header:ignore, 0, 0, 0
196, valhelsia_structures:witch_hut, MONSTER, minecraft:witch, 30, 1, 1
197, valhelsia_structures:witch_hut, CREATURE, minecraft:cat, 30, 1, 1
198, valhelsia_structures:big_tree, HEADING, header:ignore, 0, 0, 0
